employee_id,name,nationality,department,job_title,salary,age,years_of_experience,performance_score,manager_rating,attrition,join_date
1,Wendy Brown,Indian,HR,HR Director,27763.41,37,1,1.89,3.95,0,2024-08-12
2,James King,Jordanian,Finance,CFO,11466.72,36,1,3.02,1.11,1,2024-06-20
3,Katherine Smith,Pakistani,Operations,Operations Analyst,20142.38,22,15,4.04,1.64,0,2010-12-31
4,Jennifer Gentry,American,Marketing,Digital Marketer,9596.88,28,4,2.44,2.38,1,2022-04-27
5,Douglas Duncan,Filipino,HR,HR Officer,9206.41,40,13,4.32,3.47,0,2012-07-30
6,Colin Small,Egyptian,Finance,CFO,16432.24,40,22,4.94,4.42,0,2003-11-11
7,Kristopher Williams,Lebanese,Marketing,Digital Marketer,17365.07,35,6,3.68,3.81,0,2020-04-13
8,Susan Cooper,Jordanian,IT,IT Support,38894.2,32,18,2.85,2.08,0,2007-06-05
9,Sean Brown,Filipino,Marketing,Digital Marketer,28728.0,36,25,4.29,4.22,0,2001-04-21
10,John Baker,Filipino,Marketing,Digital Marketer,25352.28,47,7,4.54,3.57,1,2019-03-10
11,Scott Rodriguez,Jordanian,Logistics,Supply Chain Analyst,11780.32,59,18,2.71,3.33,0,2008-03-13
12,Natalie Conrad,Indian,HR,HR Director,8319.26,29,25,1.61,1.64,0,2000-07-23
13,Rebecca Johnson,Indian,Legal,Legal Counsel,54825.46,55,20,2.01,3.21,0,2005-06-09
14,Alec Herman,Jordanian,Logistics,Logistics Coordinator,11870.15,43,25,1.45,2.74,1,2001-01-10
15,Amanda Montgomery,Pakistani,Logistics,Warehouse Manager,25151.41,41,4,4.37,3.03,0,2021-11-09
16,Dawn Mcclure,Filipino,Logistics,Logistics Coordinator,19176.78,53,1,1.08,4.72,0,2024-12-12
17,Allison West,Pakistani,Operations,Operations Analyst,28726.79,27,19,3.93,4.26,0,2006-08-24
18,Erin Mccall,Filipino,Customer Service,CS Manager,7476.9,55,18,4.49,2.69,1,2007-08-20
19,David Rich,Indian,Sales,Sales Manager,39839.93,45,13,2.75,3.07,1,2013-01-26
20,Rachel Sanchez,Indian,Finance,Financial Analyst,28495.1,59,19,1.88,1.28,0,2007-01-26
21,Jorge Washington,Lebanese,Marketing,Brand Manager,21396.37,39,3,3.68,1.86,1,2022-07-31
22,Jacqueline Gomez,American,Operations,Coordinator,25379.93,34,16,1.38,3.64,0,2009-10-24
23,Rachael Miller,Filipino,Finance,Accountant,32177.85,28,22,1.24,3.91,0,2004-03-29
24,Abigail Yates,American,Operations,Coordinator,16766.73,49,18,1.73,2.85,0,2008-04-14
25,Yesenia Mitchell,Pakistani,HR,HR Director,25260.06,56,2,4.34,4.88,0,2024-01-18
26,Teresa Jimenez,Egyptian,Customer Service,CS Supervisor,8206.21,47,16,4.61,1.66,1,2009-11-04
27,Daniel Vaughn,Emirati,Sales,Account Manager,29987.52,57,14,3.65,2.95,0,2012-01-31
28,Jody Miles,Pakistani,Logistics,Logistics Coordinator,22455.46,25,2,1.2,2.91,0,2023-08-21
29,Frank Lane,Lebanese,Logistics,Logistics Coordinator,24729.54,26,3,3.38,3.7,0,2023-03-19
30,Tiffany Taylor,Filipino,Management,Director,17583.21,27,20,2.68,3.33,0,2006-01-10
31,Nancy Hodges,American,Operations,Coordinator,15498.86,41,9,2.83,4.72,0,2017-05-16
32,Jessica Prince,Filipino,Management,Director,19761.95,35,4,3.02,1.53,1,2022-04-14
33,Shelly Burton,Jordanian,Sales,Sales Executive,21460.09,56,6,3.81,3.45,0,2019-06-20
34,Jonathan Pruitt,Jordanian,Logistics,Logistics Coordinator,26498.63,28,10,4.76,1.54,1,2016-03-27
35,Joseph Rodgers,Egyptian,Sales,Sales Executive,26959.38,43,10,1.81,3.54,1,2015-09-13
36,Briana Mccarthy,Pakistani,HR,HR Director,18860.12,39,21,1.18,2.33,1,2005-01-09
37,Kevin Johnson,Jordanian,Logistics,Logistics Coordinator,15409.11,22,23,1.45,4.78,0,2003-03-09
